ISO,year,country.name,region,Subscriptors.per100,GPDperCapita,years.with.network
CHE,2011,Switzerland,Wester Europe,127.38321204771,44366.03,25
TJK,2011,Tajikistan,Former Soviet Republics,90.641222148679,2057.891,16
TZA,2011,Tanzania,Sub-Saharan Africa,55.53287703972,1531.432,18
THA,2011,Thailand,East Asia,111.63169027319,8810.492,26
BHS,2011,Bahamas,Caribbean,81.562848898947,30570.141,22
TLS,2011,Timor-Leste,Australia and Oceania,53.22698065753,18797.985,9
TGO,2011,Togo,Sub-Saharan Africa,41.64413476252,988.244,15
TON,2011,Tonga,Australia and Oceania,52.627046474466,7817.751,17
TTO,2011,Trinidad and Tobago,Caribbean,136.99082277009,19391.528,21
TUN,2011,Tunisia,Middle East and North Africa,115.20107786862,9244.089,25
TUR,2011,Turkey,Wester Europe,89.410022946226,14428.153,26
TKM,2011,Turkmenistan,Former Soviet Republics,68.753245756333,7766.795,15
TUV,2011,Tuvalu,Australia and Oceania,21.637545713125,3391.02,8
ARE,2011,United Arab Emirates,Middle East and North Africa,131.39803762335,28300.148,30
UGA,2011,Uganda,Sub-Saharan Africa,47.504727429653,1406.895,17
GBR,2011,United Kingdom of Great Britain & Northern Ireland,Wester Europe,130.75193690686,35856.755,27
UKR,2011,Ukraine,Former Soviet Republics,122.983535361,7137.079,19
URY,2011,Uruguay,South America,140.60720215777,15055.018,20
USA,2011,United States of America,North America,95.275288804607,49797.251,28
UZB,2011,Uzbekistan,Former Soviet Republics,91.648214334538,3238.845,19
VUT,2011,Vanuatu,Australia and Oceania,64.447964661797,4752.151,18
VEN,2011,Venezuela,South America,97.775267775391,12734.703,24
VNM,2011,Vietnam,East Asia,143.38910119781,3574.274,20
YEM,2011,Yemen,Middle East and North Africa,50.068215153951,2225.748,20
ZWE,2011,Zimbabwe,Sub-Saharan Africa,72.132094563921,694.54,15
AFG,2010,Afghanistan,South Asia,45.778174741068,934.79,9
ALB,2010,Albania,Eastern Europe,85.468246997041,8336.707,15
DZA,2010,Algeria,Middle East and North Africa,88.44487548438,6907.866,21
AGO,2010,Angola,Sub-Saharan Africa,45.573397559911,5698.706,18
ATG,2010,Antigua and Barbuda,Caribbean,192.55327685624,17429.286,15
ARG,2010,Argentina,South America,141.38302199938,15921.639,22
ARM,2010,Armenia,Former Soviet Republics,130.43223274133,5117.294,15
AUS,2010,Australia,Australia and Oceania,100.4263074434,39329.381,24
AUT,2010,Austria,Wester Europe,145.69281988268,39304.591,26
AZE,2010,Azerbaijan,Former Soviet Republics,100.05932014604,10028.256,17
BHR,2010,Bahrain,Middle East and North Africa,125.20844769491,31476.621,25
BGD,2010,Bangladesh,South Asia,44.945358815249,1709.303,19
BRB,2010,Barbados,Caribbean,124.84521890469,24068.438,20
BLR,2010,Belarus,Former Soviet Republics,108.86970594464,13754.955,18
BEL,2010,Belgium,Wester Europe,111.08418862569,36352.512,25
BLZ,2010,Belize,Central America,62.930702052853,8066.407,18
BEN,2010,Benin,Sub-Saharan Africa,74.39604921156,1453.567,16
BTN,2010,Bhutan,South Asia,54.999937233154,5044.264,8
BOL,2010,Bolivia,South America,70.68598047713,4563.343,20
BIH,2010,Bosnia and Herzegovina,Eastern Europe,82.715684936953,7751.235,15
BWA,2010,Botswana,Sub-Saharan Africa,120.01024708265,14022.292,13
BRA,2010,Brazil,South America,100.8810115482,11215.678,21
BRN,2010,Brunei Darussalam,East Asia,108.62148593626,51636.066,21
BGR,2010,Bulgaria,Eastern Europe,136.10208354794,12851.933,18
BFA,2010,Burkina Faso,Sub-Saharan Africa,36.729380235265,1335.226,15
BDI,2010,Burundi,Sub-Saharan Africa,18.174741596575,577.86,18
KHM,2010,Cambodia,East Asia,57.650424327472,2049.955,18
CMR,2010,Cameroon,Sub-Saharan Africa,41.87601030491,2174.54,17
CAN,2010,Canada,North America,75.676077997459,40114.664,26
CPV,2010,Cape Verde,Sub-Saharan Africa,76.265430136526,4005.128,14
CAF,2010,Central African Republic,Sub-Saharan Africa,22.511489289116,793.047,16
TCD,2010,Chad,Sub-Saharan Africa,25.610142788839,2299.473,11
CHL,2010,Chile,South America,115.75138361215,16002.079,22
